"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"A.J. Greer","21-22","N.J","L",9,70.45,50.5,57.9,57.33,56.89,58.74,3.01,2.95,39.64,28.82,57.42,42.74,71.7,54.34,3.16,2.22,0.06,10.82,14.68,17.36,0.94,7.59,89.76
"Aaron Ekblad","19-20","FLA","D",67,1268.28,54.75,53.16,53.3,53.14,49.91,71.36,58.98,711.22,626.69,927.03,812.16,1213.67,1070.09,52.6,52.78,12.38,84.53,114.87,143.58,-0.18,10.03,90.59
"Aaron Ekblad","20-21","FLA","D",35,630.15,57.67,54.51,53.65,53.97,55.13,25.2,18.5,328.1,273.78,435.12,375.86,564.46,481.39,26.51,21.58,6.7,54.32,59.26,83.07,4.93,7.68,93.24
"Aaron Ekblad","21-22","FLA","D",61,1091.47,62.97,58.9,59.83,59.35,59.63,70.82,41.65,711.16,496.25,936.03,628.41,1252.25,857.55,61.71,41.78,29.17,214.91,307.62,394.7,19.93,9.96,91.61
"Aaron Ness","19-20","ARI","D",24,292.63,49.44,51.47,49.69,49.55,50.93,12.82,13.11,152.71,144.01,208.29,210.93,271.19,276.12,10.93,10.53,-0.29,8.7,-2.64,-4.93,0.4,8.39,90.9
"Adam Boqvist","19-20","CHI","D",41,563.95,52.72,46.47,47.06,48.2,48.27,31.11,27.9,305.11,351.49,401.29,451.35,533.55,573.35,25.86,27.71,3.21,-46.38,-50.06,-39.8,-1.85,10.2,92.06
"Adam Boqvist","20-21","CHI","D",35,459.97,47.21,48,46.97,47.68,46.08,19.83,22.17,222.51,241.07,287.32,324.37,388.28,426.05,18.26,21.37,-2.34,-18.56,-37.05,-37.77,-3.11,8.91,90.8
"Adam Boqvist","21-22","CBJ","D",52,763.68,48.05,45.84,45.89,46.8,44.6,40.92,44.24,408.87,483.02,546.88,644.83,713.29,810.68,30.79,38.25,-3.32,-74.15,-97.95,-97.39,-7.46,10.01,90.84
"Adam Brooks","19-20","TOR","C",7,51.6,74.81,54.99,49.59,48.47,53.99,2.94,0.99,22.04,18.04,32.33,32.87,42.31,44.99,2.37,2.02,1.95,4,-0.54,-2.68,0.35,13.34,94.51
"Adam Brooks","20-21","TOR","C",11,110.38,71.95,56.68,49.73,51.23,54.09,5.13,2,44.4,33.94,53.71,54.3,77.76,74.03,3.24,2.75,3.13,10.46,-0.59,3.73,0.49,11.55,94.11
"Adam Brooks","21-22","MTL/VGK/WPG","C",25,213.63,63.79,48.65,45.73,45.96,45.58,5.18,2.94,93.58,98.78,124.41,147.63,169.02,198.77,7.32,8.74,2.24,-5.2,-23.22,-29.75,-1.42,5.54,97.02
"Adam Erne","19-20","DET","L",56,599.72,22.54,42.86,42.88,42.79,42.26,8.74,30.03,216.06,288.1,309.29,411.96,412.43,551.4,17.37,23.73,-21.29,-72.04,-102.67,-138.97,-6.36,4.05,89.58
"Adam Erne","20-21","DET","L",45,546.73,48.08,47.1,45.62,44.98,44.21,17.93,19.36,255.58,287.02,333.66,397.71,430.18,526.1,18.53,23.38,-1.43,-31.44,-64.05,-95.92,-4.85,7.02,93.25
"Adam Erne","21-22","DET","L",79,961.42,38.03,42.11,41.74,41.61,44.39,26.62,43.37,390.98,537.5,520.19,726.03,700.87,983.68,33.6,42.1,-16.75,-146.52,-205.84,-282.81,-8.5,6.81,91.93
"Adam Fox","19-20","NYR","D",70,1149.98,59.88,52.88,52.69,51.64,52.58,66.14,44.31,619.52,552.03,831.52,746.7,1079.16,1010.53,52.49,47.34,21.83,67.49,84.82,68.63,5.15,10.68,91.97
