"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","19-20","S.J","G",33,1834.23,91.06,994.37,1352.1,92.16,90.84,93.27,93.18,0.08,-1.2,1.1
"Aaron Dell","20-21","N.J","G",7,319.17,21.45,153.29,210.23,11.91,86.01,89.8,94.33,-4.54,-7.35,-9.54
"Aaron Dell","21-22","BUF","G",12,565.38,37.95,356.65,467.99,30.6,89.36,91.89,93.46,-1.57,-4.85,-7.35
"Adam Huska","21-22","NYR","G",1,59.7,7.53,42.56,55.97,3.5,82.31,86.55,93.75,-7.2,-3.58,-4.03
"Adam Werner","19-20","COL","G",2,87.83,4.85,54.22,65.83,3.76,91.05,92.63,94.29,-1.66,0.05,-1.09
"Adin Hill","19-20","ARI","G",13,640.77,27.41,344.91,489.51,27.68,92.05,94.4,94.35,0.06,3.75,0.27
"Adin Hill","20-21","ARI","G",19,1005.9,45.09,525.84,721.37,44.98,91.43,93.75,93.76,-0.02,3.31,-0.11
"Adin Hill","21-22","S.J","G",25,1375.95,62.41,665.7,927.61,55.55,90.62,93.27,94.01,-0.74,-0.62,-6.86
"Akira Schmid","21-22","N.J","G",6,235.98,18.53,114.44,150.54,8.87,83.81,87.69,94.11,-6.42,-7.9,-9.66
"Alex Lyon","19-20","PHI","G",3,135.32,8.29,77.42,102.29,7.32,89.29,91.9,92.84,-0.95,-1.29,-0.97
"Alex Lyon","20-21","PHI","G",6,324.15,18.19,171.55,231.62,13.6,89.4,92.15,94.13,-1.98,-2.4,-4.59
"Alex Lyon","21-22","CAR","G",2,122.82,6.18,67.16,97.83,8.05,90.8,93.68,91.77,1.91,0.05,1.87
"Alex Nedeljkovic","19-20","CAR","G",4,216.32,11.2,100.51,134.2,9.27,88.86,91.65,93.09,-1.44,-2.12,-1.93
"Alex Nedeljkovic","20-21","CAR","G",23,1392.03,43.43,632.33,880.97,56.68,93.13,95.07,93.57,1.5,14.76,13.25
"Alex Nedeljkovic","21-22","DET","G",59,3230.8,180.28,1830.96,2425.94,168.87,90.15,92.57,93.04,-0.47,-10.34,-11.41
"Alex Stalock","19-20","MIN","G",38,2177.35,96.79,1062.14,1479.66,80.15,90.89,93.46,94.58,-1.12,-0.82,-16.64
"Alexandar Georgiev","19-20","NYR","G",34,1891.73,96.56,1065.09,1484.47,98.47,90.93,93.5,93.37,0.13,-0.32,1.91
"Alexandar Georgiev","20-21","NYR","G",19,973.93,43.97,463.67,667.65,40.87,90.52,93.41,93.88,-0.46,-1.3,-3.1
"Alexandar Georgiev","21-22","NYR","G",33,1746.1,84.06,834.27,1191.64,79.06,89.92,92.95,93.37,-0.42,-6.63,-5
"Alexei Melnichuk","20-21","S.J","G",3,130.58,11.62,89.24,110.88,9.3,86.98,89.52,91.61,-2.09,-3.4,-2.32
"Anders Nilsson","19-20","OTT","G",20,1093.27,57.3,620.99,825.69,50.51,90.77,93.06,93.88,-0.82,-1.18,-6.79
"Andrei Vasilevskiy","19-20","T.B","G",52,3121.9,132.82,1578.79,2096.53,124.53,91.59,93.66,94.06,-0.4,9.84,-8.29
"Andrei Vasilevskiy","20-21","T.B","G",42,2523.62,91.62,1207.78,1608.44,104.66,92.41,94.3,93.49,0.81,19.53,13.04
"Andrei Vasilevskiy","21-22","T.B","G",63,3760.7,154.97,1862.36,2561.14,172.57,91.68,93.95,93.26,0.69,17.9,17.6
"Andrew Hammond","21-22","MTL/N.J","G",11,586.47,38.27,314.05,435.68,32.06,87.81,91.22,92.64,-1.43,-9.12,-6.21
"Anthony Stolarz","19-20","ANA","G",1,58.55,2.05,37.69,52.91,3.03,94.56,96.13,94.27,1.85,1.36,0.98
"Anthony Stolarz","20-21","ANA","G",8,464.3,16.98,226.85,305.8,18.64,92.51,94.45,93.9,0.54,3.89,1.66
"Anthony Stolarz","21-22","ANA","G",28,1506.25,67.02,816.94,1120.61,71.65,91.8,94.02,93.61,0.41,8.81,4.63
"Antoine Bibeau","19-20","COL","G",2,91.75,4.79,40.3,64.62,4.22,88.11,92.59,93.47,-0.88,-1.15,-0.57
"Anton Forsberg","19-20","CAR","G",3,143.15,7.99,80.05,100.47,6.42,90.02,92.05,93.61,-1.56,-0.76,-1.57
"Anton Forsberg","20-21","OTT","G",8,448.55,23.71,266.15,362.06,23.63,91.09,93.45,93.47,-0.02,0.78,-0.08
"Anton Forsberg","21-22","OTT","G",46,2571.45,119.85,1437.86,1932.24,131.31,91.66,93.8,93.2,0.59,13.61,11.46
"Anton Khudobin","19-20","DAL","G",30,1677.48,60.54,872.25,1181.56,66.69,93.06,94.88,94.36,0.52,18.28,6.15
"Anton Khudobin","20-21","DAL","G",32,1794.62,76.42,795.06,1134.39,66.62,90.39,93.26,94.13,-0.86,-3.26,-9.8
"Anton Khudobin","21-22","DAL","G",9,462.47,27.15,229.71,308.24,19.37,88.18,91.19,93.72,-2.52,-5.83,-7.78
"Antti Raanta","19-20","ARI","G",33,1822.9,79.87,1009.92,1426.51,85.51,92.09,94.4,94.01,0.4,11.39,5.64
"Antti Raanta","20-21","ARI","G",12,678.83,38.79,403.47,559.34,36.87,90.39,93.07,93.41,-0.34,-1.66,-1.92
"Antti Raanta","21-22","CAR","G",28,1516.63,61.32,698.81,962.99,69.82,91.23,93.63,92.75,0.88,3.54,8.5
"Arvid Soderblom","21-22","CHI","G",3,155.82,13.73,104.95,141.24,8.38,86.92,90.28,94.07,-3.79,-3.99,-5.35
"Ben Bishop","19-20","DAL","G",44,2473.82,104.14,1302.46,1783.74,109.85,92,94.16,93.84,0.32,13.56,5.71
"Braden Holtby","19-20","WSH","G",48,2743.17,141.79,1377.56,1890.51,128.97,89.71,92.5,93.18,-0.68,-17.32,-12.82
