"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","19-20","FLA","D",67,95.9,92.22,81.87,84.52,85.63,93.16,6.45,0.54,51.3,11.36,66.29,12.14,83.88,14.08,6.14,0.45,5.91,39.94,54.16,69.8,5.69,12.57,95.21
"Aaron Ekblad","20-21","FLA","D",35,132.75,91.82,87.33,87.48,87.89,92.26,9.79,0.87,70.21,10.19,92.52,13.24,110.01,15.16,8.24,0.69,8.92,60.02,79.28,94.85,7.55,13.94,91.44
"Aaron Ekblad","21-22","FLA","D",61,214.78,92.51,86.16,86.54,87.19,91.76,9.9,0.8,57.15,9.18,76.63,11.92,96.98,14.25,8.21,0.74,9.1,47.97,64.7,82.73,7.47,17.33,91.27
"Adam Boqvist","19-20","CHI","D",41,87.02,88.2,81.06,84.35,86.69,90.73,5.1,0.68,48.05,11.23,64.19,11.91,85.81,13.18,6.14,0.63,4.42,36.83,52.28,72.63,5.52,10.62,93.92
"Adam Boqvist","20-21","CHI","D",35,118.65,82.03,75.97,79.96,82.55,77.83,6.81,1.49,41.9,13.25,57.22,14.34,77.67,16.41,5.95,1.69,5.32,28.65,42.88,61.26,4.25,16.26,88.74
"Adam Boqvist","21-22","CBJ","D",50,98.63,100,75.2,78.52,80.64,81.7,4.85,0,35.86,11.83,56.63,15.49,76.88,18.46,5.02,1.13,4.85,24.04,41.14,58.42,3.9,13.52,100
"Adam Erne","19-20","DET","L",55,48.92,0,63.48,61.62,67.1,74.49,0,1.14,29.17,16.78,36.66,22.84,49.45,24.25,3.15,1.08,-1.14,12.39,13.82,25.2,2.07,0,93.2
"Adam Erne","20-21","DET","L",44,67.95,86.47,75.52,77.67,83.07,82.73,6.09,0.95,37.85,12.27,48.82,14.04,73.8,15.04,4.65,0.97,5.14,25.58,34.78,58.76,3.68,16.1,92.23
"Adam Erne","21-22","DET","L",77,72.93,59.88,81.24,84.11,86.5,90.88,2.54,1.7,39.89,9.21,53.19,10.05,64.71,10.1,4.92,0.49,0.84,30.68,43.14,54.6,4.43,6.37,81.52
"Adam Fox","19-20","NYR","D",69,136.88,94.33,79.02,83.17,83.7,89.39,6.78,0.41,49.62,13.18,71.51,14.47,95.42,18.58,6.57,0.78,6.37,36.45,57.04,76.84,5.79,13.66,96.91
"Adam Fox","20-21","NYR","D",52,197.82,96.94,89.2,90.84,91.26,97.07,9.51,0.3,64.43,7.8,96.03,9.68,121.82,11.67,9.66,0.29,9.21,56.63,86.35,110.15,9.37,14.76,96.15
"Adam Fox","21-22","NYR","D",77,228.88,98.04,87.99,87.92,88.67,92.64,12.22,0.24,66.68,9.1,95.59,13.13,117.92,15.07,9.87,0.78,11.98,57.58,82.46,102.85,9.09,18.33,97.32
"Adam Gaudette","19-20","VAN","C",58,89.62,100,82.96,84.56,85.08,92.09,11.3,0,50.68,10.41,70.28,12.83,95.6,16.76,6.01,0.52,11.3,40.27,57.44,78.84,5.49,22.3,100
"Adam Gaudette","20-21","VAN","C",33,35.9,59.57,70.44,74.13,77.7,81.61,5.1,3.46,45.79,19.22,63.11,22.03,84.15,24.15,6.08,1.37,1.64,26.57,41.08,60,4.71,11.13,82
"Adam Gaudette","21-22","OTT","C",49,57.45,49.18,79.72,84.12,83.77,87.08,1.88,1.94,45.65,11.61,61.54,11.61,77.83,15.08,6.19,0.92,-0.06,34.04,49.92,62.75,5.27,4.12,83.27
"Adam Henrique","19-20","ANA","C",70,161.75,93.83,83.48,85.55,86.51,91.82,4.9,0.32,50.54,10,66.33,11.2,88.77,13.84,6.78,0.6,4.58,40.54,55.13,74.93,6.18,9.7,96.77
"Adam Henrique","20-21","ANA","C",44,79.65,71.47,84.26,85.71,87.67,86.8,3.92,1.57,60.65,11.33,82.66,13.79,102.61,14.43,6.89,1.05,2.36,49.32,68.87,88.18,5.84,6.47,86.17
"Adam Henrique","21-22","ANA","C",57,120.7,100,83.39,83.73,87.25,91.97,9.63,0,56,11.15,72.43,14.08,105.31,15.39,5.87,0.51,9.63,44.84,58.35,89.92,5.35,17.19,100
"Adam Lowry","20-21","WPG","L",52,41.37,100,79.11,82.31,83.79,90.35,2.61,0,61.84,16.33,81.64,17.55,106.9,20.68,6.79,0.73,2.61,45.51,64.09,86.22,6.06,4.22,100
