"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","19-20","FLA","D",67,95.9,92.22,81.87,84.52,85.63,93.16,10.31,0.87,81.99,18.16,105.96,19.4,134.07,22.5,9.81,0.72,9.44,63.83,86.56,111.57,9.09,12.57,95.21
"Aaron Ekblad","20-21","FLA","D",35,132.75,91.82,87.33,87.48,87.89,92.26,21.66,1.93,155.34,22.54,204.71,29.3,243.4,33.55,18.23,1.53,19.73,132.8,175.41,209.85,16.7,13.94,91.44
"Aaron Ekblad","21-22","FLA","D",61,214.78,92.51,86.16,86.54,87.19,91.76,35.45,2.87,204.58,32.87,274.3,42.68,347.15,51.02,29.39,2.64,32.58,171.71,231.62,296.13,26.75,17.33,91.27
"Adam Boqvist","19-20","CHI","D",41,87.02,88.2,81.06,84.35,86.69,90.73,7.4,0.99,69.69,16.28,93.1,17.27,124.45,19.11,8.91,0.91,6.41,53.41,75.83,105.34,8,10.62,93.92
"Adam Boqvist","20-21","CHI","D",35,118.65,82.03,75.97,79.96,82.55,77.83,13.47,2.95,82.85,26.2,113.15,28.35,153.6,32.46,11.76,3.35,10.52,56.65,84.8,121.14,8.41,16.26,88.74
"Adam Boqvist","21-22","CBJ","D",50,98.63,100,75.2,78.52,80.64,81.7,7.97,0,58.95,19.44,93.09,25.46,126.38,30.35,8.26,1.85,7.97,39.51,67.63,96.03,6.41,13.52,100
"Adam Erne","19-20","DET","L",55,48.92,0,63.48,61.62,67.1,74.49,0,0.93,23.78,13.68,29.89,18.62,40.32,19.77,2.57,0.88,-0.93,10.1,11.27,20.55,1.69,0,93.2
"Adam Erne","20-21","DET","L",44,67.95,86.47,75.52,77.67,83.07,82.73,6.9,1.08,42.87,13.9,55.29,15.9,83.58,17.03,5.27,1.1,5.82,28.97,39.39,66.55,4.17,16.1,92.23
"Adam Erne","21-22","DET","L",77,72.93,59.88,81.24,84.11,86.5,90.88,3.09,2.07,48.49,11.2,64.65,12.21,78.65,12.28,5.98,0.6,1.02,37.29,52.44,66.37,5.38,6.37,81.52
"Adam Fox","19-20","NYR","D",69,136.88,94.33,79.02,83.17,83.7,89.39,15.47,0.93,113.21,30.06,163.14,33.01,217.68,42.38,14.99,1.78,14.54,83.15,130.13,175.3,13.21,13.66,96.91
"Adam Fox","20-21","NYR","D",52,197.82,96.94,89.2,90.84,91.26,97.07,31.35,0.99,212.41,25.71,316.62,31.91,401.63,38.48,31.84,0.96,30.36,186.7,284.71,363.15,30.88,14.76,96.15
"Adam Fox","21-22","NYR","D",77,228.88,98.04,87.99,87.92,88.67,92.64,46.62,0.93,254.36,34.73,364.64,50.1,449.81,57.49,37.65,2.99,45.69,219.63,314.54,392.32,34.66,18.33,97.32
"Adam Gaudette","19-20","VAN","C",58,89.62,100,82.96,84.56,85.08,92.09,16.88,0,75.7,15.55,104.97,19.17,142.8,25.04,8.97,0.77,16.88,60.15,85.8,117.76,8.2,22.3,100
"Adam Gaudette","20-21","CHI/VAN","C",40,40.63,65.44,71.06,73.69,77.59,81.62,3.92,2.07,28.24,11.5,39.83,14.22,53.66,15.5,3.73,0.84,1.85,16.74,25.61,38.16,2.89,13.88,82
"Adam Gaudette","21-22","CHI/OTT","C",57,67.2,67.2,74.07,78.53,79.33,84.8,3.81,1.86,51.45,18.01,69.56,19.02,85.95,22.39,7.59,1.36,1.95,33.44,50.54,63.56,6.23,7.41,89.67
