"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Aaron Ekblad","19-20","FLA","D",65,134.87,7.45,22.51,21.41,19.08,16.75,0.89,11.06,17.88,61.53,21.56,79.16,23.89,101.33,1.72,8.54,-10.17,-43.66,-57.6,-77.44,-6.82,4.98,82.03
"Aaron Ekblad","20-21","FLA","D",33,86.47,18.24,17.92,14.84,15.32,11.5,1.39,6.25,12.5,57.25,13.75,78.89,16.53,91.36,0.9,6.94,-4.86,-44.75,-65.14,-74.83,-6.04,11.15,89.08
"Aaron Ekblad","21-22","FLA","D",61,167,25.76,19.05,17.45,16.22,19.25,2.16,6.21,13.5,57.36,15.26,72.19,17.89,92.41,1.64,6.87,-4.06,-43.86,-56.93,-74.52,-5.23,15.97,89.17
"Adam Fox","20-21","NYR","D",54,139.75,18.44,20.18,17.25,15.49,12.61,1.31,5.77,12.72,50.31,15.99,76.7,18.38,100.31,1.06,7.38,-4.47,-37.59,-60.7,-81.93,-6.32,10.26,88.52
"Adam Fox","21-22","NYR","D",78,163.83,17.42,11.66,11.33,9.96,7.5,1.12,5.31,7.59,57.49,10.04,78.57,11.19,101.1,0.6,7.46,-4.19,-49.91,-68.53,-89.91,-6.85,14.77,90.76
"Adam Henrique","19-20","ANA","C",70,38.63,0,22.97,22.52,20.09,14.85,0,3,12.38,41.52,16.91,58.18,18.62,74.09,1.1,6.32,-3,-29.14,-41.27,-55.46,-5.22,0,92.78
"Adam Henrique","20-21","ANA","C",44,40.68,10.58,16.2,13.43,10.96,8.04,1.46,12.35,11.39,58.88,12.61,81.27,12.63,102.52,0.65,7.42,-10.88,-47.49,-68.66,-89.9,-6.77,12.82,79.03
"Adam Larsson","19-20","EDM","D",47,78.42,15.05,18.38,16.41,13.49,10.21,0.67,3.76,12.83,56.97,15.25,77.68,16.84,107.96,0.77,6.73,-3.09,-44.14,-62.43,-91.12,-5.96,5.19,93.41
"Adam Larsson","20-21","EDM","D",56,128.07,0,11.34,12.72,9.74,8.52,0,6.13,6.85,53.61,10.78,74.03,11.29,104.53,0.69,7.44,-6.13,-46.76,-63.25,-93.24,-6.75,0,88.57
"Adam Larsson","21-22","SEA","D",79,207.38,9.66,14.74,12.42,10.96,10.59,0.97,9.04,10.05,58.12,12.03,84.84,13.7,111.3,1.01,8.5,-8.07,-48.07,-72.81,-97.6,-7.49,9.62,84.45
"Adam Lowry","19-20","WPG","L",48,107.42,13.36,16.51,14.08,11.89,15.72,1.12,7.28,11.07,55.98,12.96,79.06,14.09,104.43,1.22,6.56,-6.16,-44.91,-66.1,-90.34,-5.33,10.14,86.99
"Adam Lowry","20-21","WPG","L",52,123.95,16.22,16.51,16.22,14.09,11.16,1.15,5.92,10.55,53.37,13.46,69.49,15.55,94.83,0.78,6.21,-4.78,-42.82,-56.03,-79.29,-5.43,10.87,88.9
"Adam Lowry","21-22","WPG","C/L",76,181.13,16.72,16.66,15.4,14.58,16.36,1.97,9.83,13.27,66.4,15.96,87.66,18,105.43,1.69,8.62,-7.86,-53.13,-71.7,-87.43,-6.94,14.87,85.19
"Adam Pelech","19-20","NYI","D",37,103.88,30.51,28.02,23.15,18.03,22.6,1.73,3.93,17.45,44.85,18.62,61.83,20.44,92.93,1.63,5.6,-2.21,-27.4,-43.2,-72.49,-3.96,9.89,91.23
"Adam Pelech","20-21","NYI","D",54,122.77,10.16,13.94,12.19,9.75,10.71,0.91,8.04,9.52,58.73,11.4,82.08,11.88,109.92,0.95,7.94,-7.13,-49.22,-70.68,-98.04,-6.99,9.55,86.31
"Adam Pelech","21-22","NYI","D",74,175.07,18.55,18.69,17.95,15.03,14.08,1.4,6.14,12.43,54.08,15.86,72.51,17.66,99.81,1.16,7.07,-4.74,-41.65,-56.65,-82.15,-5.91,11.25,88.64
"Adrian Kempe","19-20","L.A","L",69,62.85,50.19,27.55,21.58,19.7,15.69,3.76,3.73,16.82,44.24,17.72,64.39,19.69,80.28,1.08,5.79,0.03,-27.42,-46.67,-60.58,-4.72,22.36,91.56
"Adrian Kempe","20-21","L.A","L",56,73.85,20.45,8.9,7.53,6.47,6.44,0.8,3.13,4.4,45.01,5.13,63,5.95,85.95,0.32,4.72,-2.32,-40.61,-57.87,-80,-4.4,18.3,93.05
"Adrian Kempe","21-22","L.A","C/L",78,112.73,14.77,16.37,14.98,14,10.78,1.56,9.03,13.01,66.48,15.69,89.01,17.86,109.66,1.18,9.78,-7.47,-53.47,-73.32,-91.81,-8.6,12.02,86.41
"Alec Martinez","19-20","L.A/VGK","D",50,85.18,13.35,25.38,20.96,17.17,13.27,1.36,8.83,16.94,49.81,19.53,73.64,22.55,108.79,1.14,7.46,-7.47,-32.87,-54.12,-86.24,-6.32,8.02,82.28
"Alec Martinez","20-21","VGK","D",51,127.05,18.26,13.88,13.46,11.01,10.48,0.94,4.21,8.39,52.06,11.31,72.68,12.8,103.47,0.86,7.39,-3.27,-43.67,-61.37,-90.67,-6.52,11.2,91.92
"Alec Martinez","21-22","VGK","D",26,30.25,0,19.04,15.34,12,9.92,0,11.4,12.32,52.38,12.32,67.95,12.34,90.51,0.95,8.65,-11.4,-40.07,-55.64,-78.17,-7.7,0,78.23
"Aleksander Barkov","19-20","FLA","C",64,72.83,28.29,21.17,20.25,19.35,19.99,1.65,4.18,16.39,61.05,20.97,82.59,24.29,101.28,2.22,8.91,-2.53,-44.66,-61.62,-76.99,-6.68,10.05,93.16
"Aleksander Barkov","20-21","FLA","C",48,70.2,6.01,19.72,17.69,17.46,12.42,0.79,12.44,13.15,53.56,15.69,73.03,18.97,89.68,0.96,6.75,-11.64,-40.4,-57.33,-70.71,-5.79,6.04,76.78
"Aleksander Barkov","21-22","FLA","C",67,142.48,21.13,19.51,15.74,14.78,14.95,2.15,8.03,13.9,57.34,14.3,76.51,16.72,96.38,1.21,6.88,-5.88,-43.44,-62.22,-79.67,-5.67,15.48,85.99
"Alex Biega","19-20","DET","D",47,83.13,8.41,21.68,20.13,19.25,15.98,0.78,8.49,14.25,51.5,15.5,61.51,17.5,73.43,1.17,6.15,-7.71,-37.24,-46.01,-55.93,-4.98,5.47,83.52
"Alex Carrier","20-21","NSH","D",19,30.32,14.79,22.38,24.68,20.92,18.14,2.34,13.46,16.17,56.06,20.8,63.46,23.25,87.9,1.46,6.61,-11.12,-39.89,-42.66,-64.65,-5.15,14.44,76
"Alex Carrier","21-22","NSH","D",77,219.13,3.51,10.42,9.15,8.57,3.44,0.24,6.56,6.42,55.21,7.81,77.57,10.01,106.72,0.28,7.85,-6.32,-48.79,-69.75,-96.72,-7.57,3.71,88.12
"Alex Debrincat","20-21","CHI","R",49,24.27,25.35,24.11,28.28,22.06,39.49,2.67,7.86,15.25,48.01,21.8,55.3,21.78,76.93,3.86,5.91,-5.19,-32.76,-33.5,-55.15,-2.05,17.5,83.63
"Alex Debrincat","21-22","CHI","L/R",80,51.93,0,27.4,24,19.43,18.06,0,8.38,13.54,35.89,15.59,49.37,16.56,68.67,1.05,4.77,-8.38,-22.35,-33.78,-52.11,-3.72,0,76.66
"Alex Edler","19-20","VAN","D",59,180.48,12.24,10.73,8.77,6.74,2.25,1.1,7.86,7.46,62.01,7.76,80.72,8.1,112.12,0.19,8.07,-6.77,-54.56,-72.97,-104.03,-7.89,14.71,87.32
"Alex Edler","20-21","VAN","D",51,176.98,11.94,15.55,13.82,11.77,6.35,0.98,7.2,9.89,53.75,12.26,76.43,13.01,97.55,0.5,7.4,-6.22,-43.85,-64.17,-84.54,-6.9,9.87,86.6
"Alex Edler","21-22","L.A","D",41,76.1,33.1,26.6,20.27,17.01,16.92,3,6.06,20.94,57.78,20.94,82.37,22.34,109,1.73,8.48,-3.06,-36.84,-61.43,-86.66,-6.75,14.31,89.52
"Alex Formenton","20-21","OTT","L",20,39.02,25.06,27.8,23.51,18.5,22.16,1.55,4.64,22.53,58.51,22.53,73.3,22.57,99.44,1.98,6.97,-3.09,-35.98,-50.77,-76.87,-4.98,6.89,92.06
"Alex Formenton","21-22","OTT","L",77,149.28,21.71,21.82,21.02,19.63,21.03,1.96,7.07,16.41,58.79,19.71,74.06,22.8,93.36,1.95,7.32,-5.11,-42.38,-54.34,-70.57,-5.37,11.95,87.97
"Alex Goligoski","19-20","ARI","D",69,160.03,0,23.2,20.58,17.8,14.08,0,7.77,15.68,51.92,17.94,69.23,19.14,88.42,1.04,6.36,-7.77,-36.24,-51.29,-69.28,-5.32,0,85.03
"Alex Goligoski","20-21","ARI","D",56,163.27,0,10.99,9.88,9.01,4.01,0,7.8,7.82,63.37,9.56,87.26,11.34,114.61,0.36,8.71,-7.8,-55.55,-77.7,-103.26,-8.34,0,87.69
"Alex Goligoski","21-22","MIN","D",71,84.23,8.65,16.23,15.05,13.91,9.63,0.84,8.88,9.65,49.79,11.83,66.78,15.22,94.16,0.68,6.42,-8.04,-40.14,-54.95,-78.94,-5.73,8.71,82.17
"Alex Iafallo","19-20","L.A","L",70,101.5,0,13.62,12.01,11.4,5.45,0,8.3,8.5,53.89,10.26,75.17,13.73,106.65,0.38,6.66,-8.3,-45.39,-64.91,-92.92,-6.28,0,84.6
"Alex Iafallo","20-21","L.A","L",55,107.63,0,4.64,4.02,3.86,1.1,0,9.05,3.36,68.99,3.91,93.42,4.88,121.71,0.1,9.01,-9.05,-65.63,-89.51,-116.82,-8.91,0,86.88
