"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"A.J. Greer","21-22","N.J","L",9,70.7,1,0,1,2,14,16,20,1.18,7.14,6.25,7.38,3,4,0,20,11,1,6,0,0,5,2,1,1
"Aaron Ekblad","19-20","FLA","D",67,1537.92,5,23,13,41,147,187,265,6.74,3.4,2.67,3.6,84,74,37,34,56,14,10,0,0,-4,0,0,0
"Aaron Ekblad","20-21","FLA","D",35,878.18,11,5,6,22,101,144,193,6.81,10.89,7.64,4.73,27,22,11,24,46,14,8,1,1,-6,0,0,0
"Aaron Ekblad","21-22","FLA","D",61,1519.7,15,13,29,57,180,233,317,10.6,8.33,6.44,4.55,69,73,43,62,54,13,9,0,0,-4,0,0,0
"Aaron Ness","19-20","ARI","D",24,300.83,0,1,0,1,11,19,27,0.29,0,0,1.53,20,8,1,17,49,0,5,0,0,5,0,0,0
"Adam Boqvist","19-20","CHI","D",41,665.12,4,5,4,13,50,69,107,2.66,8,5.8,3.86,43,26,10,33,61,3,10,0,0,7,0,0,0
"Adam Boqvist","20-21","CHI","D",35,594.65,2,2,12,16,39,52,83,2.84,5.13,3.85,5.46,29,21,7,29,47,8,11,0,0,3,0,0,0
"Adam Boqvist","21-22","CBJ","D",52,886.05,11,4,7,22,64,91,130,4.51,17.19,12.09,4.96,47,28,11,26,51,6,7,0,0,1,0,0,0
"Adam Brooks","19-20","TOR","C",7,54.97,0,2,1,3,2,4,5,0.37,0,0,9.25,1,1,2,0,6,0,1,0,0,1,5,5,0
"Adam Brooks","20-21","TOR","C",11,117.45,4,0,1,5,10,10,14,1.21,40,40,12.1,2,4,4,14,20,0,1,0,0,1,7,10,-3
"Adam Brooks","21-22","MTL/VGK/WPG","C",25,223.7,2,1,0,3,14,18,21,1.71,14.29,11.11,9.5,6,3,3,11,22,1,1,0,0,0,23,34,-11
"Adam Erne","19-20","DET","L",56,661.68,2,3,0,5,63,81,106,5.59,3.17,2.47,6.9,25,27,5,142,32,11,5,0,0,-6,20,13,7
"Adam Erne","20-21","DET","L",45,626.45,11,3,6,20,71,91,105,7.87,15.49,12.09,8.65,16,6,10,82,27,8,2,2,2,-6,20,14,6
"Adam Erne","21-22","DET","L",79,1057.55,6,9,4,19,108,139,176,10.27,5.56,4.32,7.39,43,20,24,161,73,12,13,2,2,1,34,31,3
"Adam Fox","19-20","NYR","D",70,1323.3,8,20,14,42,125,173,243,7.88,6.4,4.62,4.55,92,61,57,35,92,16,10,0,0,-6,0,0,0
"Adam Fox","20-21","NYR","D",55,1358.85,5,19,23,47,102,139,181,5.79,4.9,3.6,4.17,102,36,38,23,65,7,5,0,0,-2,0,1,-1
"Adam Fox","21-22","NYR","D",78,1862.67,11,33,30,74,158,197,275,8.49,6.96,5.58,4.31,128,58,78,30,107,13,18,0,0,5,0,0,0
"Adam Gaudette","19-20","VAN","C",59,730.63,12,7,14,33,75,117,151,8.86,16,10.26,7.57,20,15,23,29,44,12,9,1,1,-3,187,267,-80
"Adam Gaudette","20-21","CHI/VAN","C",40,444.85,5,3,3,11,66,91,109,7.62,7.58,5.49,8.37,22,6,9,16,36,6,7,0,0,1,53,71,-18
"Adam Gaudette","21-22","CHI/OTT","C",58,656.54,5,5,4,14,94,126,162,8.41,5.32,3.97,6.67,10,17,21,72,40,6,6,1,1,0,56,71,-15
"Adam Henrique","19-20","ANA","C",71,1197.57,26,11,6,43,170,241,281,21.73,15.29,10.79,9.02,32,32,26,75,40,11,11,0,0,0,512,417,95
"Adam Henrique","20-21","ANA","C",45,721.8,12,6,3,21,77,102,129,7.96,15.58,11.76,7.8,32,20,11,40,30,3,6,1,1,3,303,244,59
"Adam Henrique","21-22","ANA","C",58,1010.33,19,15,8,42,141,194,233,19.06,13.48,9.79,9.82,47,20,18,22,43,7,6,0,0,-1,276,220,56
"Adam Larsson","19-20","EDM","D",49,971.73,1,2,3,6,61,94,127,2.25,1.64,1.06,2.39,82,35,16,112,65,10,3,1,0,-8,0,0,0
"Adam Larsson","20-21","EDM","D",56,1100.25,4,2,4,10,52,92,130,2.27,7.69,4.35,2.47,128,42,12,166,88,12,4,0,0,-8,1,0,1
"Adam Larsson","21-22","SEA","D",82,1826.83,8,10,7,25,119,174,260,4.17,6.72,4.6,2.4,140,35,23,183,88,25,7,1,1,-18,0,0,0
