"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"A.J. Greer","21-22","N.J","L",9,70.45,50.5,57.9,57.33,56.89,58.74,2.56,2.51,33.76,24.55,48.9,36.4,61.06,46.28,2.69,1.89,0.05,9.22,12.5,14.78,0.8,7.59,89.76
"Aaron Ekblad","19-20","FLA","D",67,1268.28,54.75,53.16,53.3,53.14,49.91,3.38,2.79,33.65,29.65,43.86,38.42,57.42,50.62,2.49,2.5,0.59,4,5.43,6.79,-0.01,10.03,90.59
"Aaron Ekblad","20-21","FLA","D",35,630.15,57.67,54.51,53.65,53.97,55.13,2.4,1.76,31.24,26.07,41.43,35.79,53.75,45.84,2.52,2.05,0.64,5.17,5.64,7.91,0.47,7.68,93.24
"Aaron Ekblad","21-22","FLA","D",61,1091.47,62.97,58.9,59.83,59.35,59.63,3.89,2.29,39.09,27.28,51.46,34.54,68.84,47.14,3.39,2.3,1.6,11.81,16.91,21.7,1.1,9.96,91.61
"Aaron Ness","19-20","ARI","D",24,292.63,49.44,51.47,49.69,49.55,50.93,2.63,2.69,31.31,29.53,42.71,43.25,55.6,56.61,2.24,2.16,-0.06,1.78,-0.54,-1.01,0.08,8.39,90.9
"Adam Boqvist","19-20","CHI","D",41,563.95,52.72,46.47,47.06,48.2,48.27,3.31,2.97,32.46,37.4,42.69,48.02,56.77,61,2.75,2.95,0.34,-4.93,-5.33,-4.23,-0.2,10.2,92.06
"Adam Boqvist","20-21","CHI","D",35,459.97,47.21,48,46.97,47.68,46.08,2.59,2.89,29.02,31.45,37.48,42.31,50.65,55.58,2.38,2.79,-0.31,-2.42,-4.83,-4.93,-0.41,8.91,90.8
"Adam Boqvist","21-22","CBJ","D",52,763.68,48.05,45.84,45.89,46.8,44.6,3.21,3.48,32.12,37.95,42.97,50.66,56.04,63.69,2.42,3.01,-0.26,-5.83,-7.7,-7.65,-0.59,10.01,90.84
"Adam Brooks","19-20","TOR","C",7,51.6,74.81,54.99,49.59,48.47,53.99,3.42,1.15,25.63,20.98,37.59,38.22,49.2,52.31,2.76,2.35,2.27,4.65,-0.63,-3.12,0.41,13.34,94.51
"Adam Brooks","20-21","TOR","C",11,110.38,71.95,56.68,49.73,51.23,54.09,2.79,1.09,24.13,18.45,29.2,29.52,42.27,40.24,1.76,1.49,1.7,5.69,-0.32,2.03,0.27,11.55,94.11
"Adam Brooks","21-22","VGK","C",7,74.08,100,55.17,54.73,54.23,57.99,2.54,0,32.51,26.42,44.09,36.47,58.04,48.98,3.26,2.37,2.54,6.09,7.62,9.06,0.9,7.8,100
"Adam Brooks","21-22","WPG","C",14,101.28,49.5,39.9,35.55,37.09,33.19,0.59,0.6,21.49,32.36,27.64,50.11,39.37,66.77,1.39,2.8,-0.01,-10.88,-22.46,-27.4,-1.41,2.73,98.15
"Adam Erne","19-20","DET","L",56,599.72,22.54,42.86,42.88,42.79,42.26,0.87,3,21.62,28.82,30.94,41.22,41.26,55.17,1.74,2.37,-2.13,-7.21,-10.27,-13.9,-0.64,4.05,89.58
"Adam Erne","20-21","DET","L",45,546.73,48.08,47.1,45.62,44.98,44.21,1.97,2.12,28.05,31.5,36.62,43.65,47.21,57.74,2.03,2.57,-0.16,-3.45,-7.03,-10.53,-0.53,7.02,93.25
"Adam Erne","21-22","DET","L",79,961.42,38.03,42.11,41.74,41.61,44.39,1.66,2.71,24.4,33.54,32.46,45.31,43.74,61.39,2.1,2.63,-1.05,-9.14,-12.85,-17.65,-0.53,6.81,91.93
"Adam Fox","19-20","NYR","D",70,1149.98,59.88,52.88,52.69,51.64,52.58,3.45,2.31,32.32,28.8,43.38,38.96,56.3,52.72,2.74,2.47,1.14,3.52,4.43,3.58,0.27,10.68,91.97
"Adam Fox","20-21","NYR","D",55,980.62,58.03,50.78,50.32,49.47,54.12,2.77,2.01,28.44,27.57,39.31,38.81,50.97,52.07,2.42,2.05,0.77,0.87,0.5,-1.1,0.37,9.75,92.72
"Adam Fox","21-22","NYR","D",78,1421.08,54.36,52.28,51.07,50.42,51.11,2.76,2.32,29.87,27.26,40.62,38.92,53.01,52.13,2.51,2.4,0.44,2.61,1.7,0.88,0.11,9.24,91.5
"Adam Gaudette","19-20","VAN","C",59,630.95,44.65,42.89,45.95,46.02,46.06,2.54,3.15,27.18,36.2,39.89,46.92,53.39,62.62,2.19,2.56,-0.61,-9.01,-7.03,-9.22,-0.37,9.34,91.31
"Adam Gaudette","20-21","CHI","C",7,80.2,39.86,43.88,43.18,44.46,36.54,2.93,4.41,31.68,40.52,42.53,55.96,59.39,74.2,2.16,3.76,-1.49,-8.84,-13.43,-14.81,-1.59,9.23,89.11
"Adam Gaudette","20-21","VAN","C",33,319.27,26.14,47.37,47.17,46.38,41.39,1.14,3.23,30.17,33.52,40,44.8,53.88,62.29,2.11,2.99,-2.09,-3.35,-4.8,-8.42,-0.88,3.79,90.37
"Adam Gaudette","21-22","CHI","C",8,73.43,23.92,31.55,36.41,39.82,40.04,0.77,2.44,15.96,34.62,24.46,42.73,36.17,54.67,1.48,2.21,-1.68,-18.66,-18.27,-18.5,-0.74,4.81,92.94
"Adam Gaudette","21-22","OTT","C",50,510.48,42.16,46.48,47.19,47.51,41.18,1.75,2.41,29.09,33.5,39.61,44.32,51.57,56.97,2.13,3.04,-0.65,-4.41,-4.71,-5.41,-0.91,6.03,92.82
"Adam Henrique","19-20","ANA","C",71,947.27,48.51,50.17,50.31,50.89,48.22,2.66,2.83,30.59,30.39,43.75,43.2,57.41,55.41,2.41,2.59,-0.16,0.2,0.55,2,-0.18,8.71,90.69
"Adam Henrique","20-21","ANA","C",45,581.68,48.21,45.36,46.18,48.5,44.47,2.8,3.01,27.38,32.98,38.11,44.43,53.67,56.99,2.2,2.75,-0.21,-5.6,-6.31,-3.32,-0.55,10.23,90.88
