"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF","GA","SF","SA","FF","FA","CF","CA","xGF","xGA","G±","S±","F±","C±","xG±","Sh%","Sv%"
"Aaron Ekblad","19-20","FLA","D",65,134.87,7.45,22.51,21.41,19.08,16.75,2,24.86,40.19,138.32,48.47,177.94,53.7,227.77,3.86,19.19,-22.86,-98.13,-129.47,-174.07,-15.33,4.98,82.03
"Aaron Ekblad","20-21","FLA","D",33,86.47,18.24,17.92,14.84,15.32,11.5,2.01,9.01,18.02,82.51,19.81,113.69,23.82,131.66,1.3,10,-7,-64.49,-93.88,-107.84,-8.7,11.15,89.08
"Aaron Ekblad","21-22","FLA","D",61,166.83,25.76,19.05,17.45,16.22,19.25,6,17.29,37.58,159.65,42.48,200.93,49.8,257.22,4.56,19.13,-11.29,-122.07,-158.45,-207.42,-14.57,15.97,89.17
"Adam Fox","20-21","NYR","D",54,139.75,18.44,20.18,17.25,15.49,12.61,3.04,13.45,29.63,117.19,37.25,178.64,42.81,233.65,2.48,17.19,-10.41,-87.56,-141.39,-190.84,-14.71,10.26,88.52
"Adam Fox","21-22","NYR","D",78,163.5,17.42,11.66,11.33,9.96,7.5,3.06,14.51,20.72,156.99,27.41,214.53,30.55,276.05,1.65,20.36,-11.45,-136.27,-187.12,-245.5,-18.71,14.77,90.76
"Adam Henrique","19-20","ANA","C",70,38.63,0,22.97,22.52,20.09,14.85,0,1.93,7.97,26.73,10.89,37.46,11.99,47.7,0.71,4.07,-1.93,-18.76,-26.57,-35.71,-3.36,0,92.78
"Adam Henrique","20-21","ANA","C",44,40.68,10.58,16.2,13.43,10.96,8.04,0.99,8.37,7.72,39.92,8.55,55.1,8.56,69.51,0.44,5.03,-7.38,-32.2,-46.55,-60.95,-4.59,12.82,79.03
"Adam Larsson","19-20","EDM","D",47,78.42,15.05,18.38,16.41,13.49,10.21,0.87,4.91,16.77,74.46,19.93,101.53,22.01,141.11,1,8.79,-4.04,-57.69,-81.6,-119.1,-7.79,5.19,93.41
"Adam Larsson","20-21","EDM","D",56,128.07,0,11.34,12.72,9.74,8.52,0,13.08,14.63,114.43,23.02,158.02,24.09,223.12,1.48,15.89,-13.08,-99.8,-135,-199.03,-14.41,0,88.57
"Adam Larsson","21-22","SEA","D",79,207.25,9.66,14.74,12.42,10.96,10.59,3.34,31.23,34.73,200.89,41.57,293.22,47.36,384.7,3.48,29.38,-27.89,-166.16,-251.65,-337.34,-25.9,9.62,84.45
"Adam Lowry","19-20","WPG","L",48,107.42,13.36,16.51,14.08,11.89,15.72,2.01,13.04,19.82,100.22,23.2,141.54,25.23,186.96,2.19,11.74,-11.03,-80.4,-118.34,-161.73,-9.55,10.14,86.99
"Adam Lowry","20-21","WPG","L",52,123.95,16.22,16.51,16.22,14.09,11.16,2.37,12.24,21.8,110.26,27.8,143.55,32.12,195.91,1.61,12.82,-9.87,-88.46,-115.75,-163.79,-11.21,10.87,88.9
"Adam Lowry","21-22","WPG","C/L",76,181.32,16.72,16.66,15.4,14.58,16.36,5.96,29.68,40.07,200.45,48.17,264.63,54.34,318.27,5.09,26.03,-23.72,-160.38,-216.46,-263.93,-20.94,14.87,85.19
"Adam Pelech","19-20","NYI","D",37,103.88,30.51,28.02,23.15,18.03,22.6,2.99,6.81,30.22,77.65,32.24,107.04,35.38,160.89,2.83,9.69,-3.82,-47.43,-74.8,-125.51,-6.86,9.89,91.23
"Adam Pelech","20-21","NYI","D",54,122.77,10.16,13.94,12.19,9.75,10.71,1.86,16.45,19.47,120.18,23.32,167.95,24.31,224.91,1.95,16.25,-14.59,-100.71,-144.63,-200.6,-14.3,9.55,86.31
"Adam Pelech","21-22","NYI","D",74,175.63,18.55,18.6,17.81,14.95,13.88,4.08,17.92,36.28,158.77,46.27,213.5,51.53,293.13,3.38,20.97,-13.84,-122.49,-167.23,-241.6,-17.59,11.25,88.71
"Adrian Kempe","19-20","L.A","L",69,62.85,50.19,27.55,21.58,19.7,15.69,3.94,3.91,17.62,46.34,18.56,67.45,20.63,84.09,1.13,6.07,0.03,-28.72,-48.89,-63.46,-4.94,22.36,91.56
"Adrian Kempe","20-21","L.A","L",56,73.85,20.45,8.9,7.53,6.47,6.44,0.99,3.85,5.41,55.4,6.31,77.54,7.32,105.79,0.4,5.81,-2.86,-49.99,-71.23,-98.47,-5.41,18.3,93.05
"Adrian Kempe","21-22","L.A","C/L",78,112.87,14.77,16.37,14.98,14,10.78,2.94,16.97,24.45,124.91,29.47,167.23,33.55,206.04,2.22,18.37,-14.03,-100.46,-137.76,-172.49,-16.15,12.02,86.41
"Alec Martinez","19-20","L.A","D",41,73.7,13.35,26.72,20.46,17.28,13.6,1.93,12.53,23,63.08,24.68,95.92,28.96,138.61,1.56,9.91,-10.6,-40.08,-71.24,-109.65,-8.35,8.39,80.14
"Alec Martinez","20-21","VGK","D",51,127.05,18.26,13.88,13.46,11.01,10.48,1.99,8.91,17.76,110.23,23.94,153.9,27.11,219.1,1.83,15.64,-6.92,-92.47,-129.96,-191.99,-13.81,11.2,91.92
"Alec Martinez","21-22","VGK","D",26,30.25,0,19.04,15.34,12,9.92,0,5.75,6.21,26.41,6.21,34.26,6.22,45.63,0.48,4.36,-5.75,-20.2,-28.05,-39.41,-3.88,0,78.23
"Aleksander Barkov","19-20","FLA","C",64,72.83,28.29,21.17,20.25,19.35,19.99,2,5.07,19.9,74.11,25.45,100.25,29.49,122.94,2.7,10.81,-3.07,-54.21,-74.8,-93.45,-8.11,10.05,93.16
"Aleksander Barkov","20-21","FLA","C",48,70.2,6.01,19.72,17.69,17.46,12.42,0.93,14.55,15.39,62.66,18.36,85.44,22.2,104.93,1.12,7.9,-13.62,-47.27,-67.08,-82.73,-6.78,6.04,76.78
"Aleksander Barkov","21-22","FLA","C",67,142.48,21.13,19.51,15.74,14.78,14.95,5.11,19.07,33,136.16,33.95,181.69,39.7,228.88,2.87,16.33,-13.96,-103.16,-147.74,-189.18,-13.46,15.48,85.99
"Alex Biega","19-20","DET","D",47,83.13,8.41,21.68,20.13,19.25,15.98,1.08,11.76,19.75,71.35,21.48,85.22,24.25,101.74,1.62,8.52,-10.68,-51.6,-63.74,-77.49,-6.9,5.47,83.52
"Alex Carrier","20-21","NSH","D",19,30.32,14.79,22.38,24.68,20.92,18.14,1.18,6.8,8.17,28.33,10.51,32.07,11.75,44.42,0.74,3.34,-5.62,-20.16,-21.56,-32.67,-2.6,14.44,76
"Alex Carrier","21-22","NSH","D",77,219.13,3.51,10.42,9.15,8.57,3.44,0.87,23.95,23.44,201.62,28.54,283.29,36.54,389.76,1.02,28.67,-23.08,-178.18,-254.75,-353.22,-27.65,3.71,88.12
"Alex Debrincat","20-21","CHI","R",49,24.27,25.35,24.11,28.28,22.06,39.49,1.08,3.18,6.17,19.42,8.82,22.37,8.81,31.12,1.56,2.39,-2.1,-13.25,-13.55,-22.31,-0.83,17.5,83.63
"Alex Debrincat","21-22","CHI","L/R",80,51.77,0,28.02,24.41,19.68,18.16,0,7.25,11.72,30.1,13.49,41.77,14.33,58.48,0.91,4.1,-7.25,-18.38,-28.28,-44.15,-3.19,0,75.91
"Alex Edler","19-20","VAN","D",59,180.48,12.24,10.73,8.77,6.74,2.25,3.3,23.65,22.43,186.54,23.33,242.81,24.36,337.27,0.56,24.28,-20.35,-164.11,-219.48,-312.91,-23.72,14.71,87.32
"Alex Edler","20-21","VAN","D",51,176.98,11.94,15.55,13.82,11.77,6.35,2.88,21.24,29.18,158.53,36.16,225.43,38.37,287.73,1.48,21.83,-18.36,-129.35,-189.27,-249.36,-20.35,9.87,86.6
"Alex Edler","21-22","L.A","D",41,76.1,33.1,26.6,20.27,17.01,16.92,3.8,7.68,26.56,73.28,26.56,104.47,28.33,138.25,2.19,10.75,-3.88,-46.72,-77.91,-109.92,-8.56,14.31,89.52
"Alex Formenton","20-21","OTT","L",20,39.02,25.06,27.8,23.51,18.5,22.16,1.01,3.02,14.65,38.05,14.65,47.67,14.68,64.67,1.29,4.53,-2.01,-23.4,-33.02,-49.99,-3.24,6.89,92.06
"Alex Formenton","21-22","OTT","L",77,149.18,21.71,21.94,21.12,19.7,21.09,4.88,17.6,40.83,145.23,49.04,183.21,56.72,231.24,4.85,18.15,-12.72,-104.4,-134.17,-174.52,-13.3,11.95,87.88
"Alex Goligoski","19-20","ARI","D",69,160.03,0,23.2,20.58,17.8,14.08,0,20.73,41.82,138.47,47.85,184.65,51.05,235.82,2.78,16.97,-20.73,-96.65,-136.8,-184.77,-14.19,0,85.03
"Alex Goligoski","20-21","ARI","D",56,163.27,0,10.99,9.88,9.01,4.01,0,21.22,21.28,172.43,26.02,237.45,30.87,311.87,0.99,23.69,-21.22,-151.15,-211.43,-281,-22.7,0,87.69
"Alex Goligoski","21-22","MIN","D",71,84.78,8.65,16.23,15.05,13.91,9.63,1.18,12.46,13.54,69.89,16.61,93.75,21.36,132.18,0.96,9.01,-11.28,-56.35,-77.14,-110.82,-8.05,8.71,82.17
"Alex Iafallo","19-20","L.A","L",70,101.5,0,13.62,12.01,11.4,5.45,0,14.04,14.38,91.17,17.35,127.16,23.22,180.41,0.65,11.27,-14.04,-76.79,-109.81,-157.19,-10.62,0,84.6
"Alex Iafallo","20-21","L.A","L",55,107.63,0,4.64,4.02,3.86,1.1,0,16.23,6.02,123.75,7.02,167.58,8.76,218.32,0.18,16.17,-16.23,-117.73,-160.56,-209.56,-15.99,0,86.88
"Alex Iafallo","21-22","L.A","L",79,126.58,8.98,17.53,15.12,12.3,8.6,1.94,19.66,24.86,116.97,28.56,160.37,31.4,223.95,1.59,16.89,-17.72,-92.11,-131.81,-192.55,-15.3,7.8,83.19
"Alex Kerfoot","20-21","TOR","C",53,83.92,17.01,29.94,23.52,22.33,19.96,2.05,10,26.05,60.96,27.09,88.09,30.09,104.65,1.93,7.74,-7.95,-34.91,-61,-74.56,-5.81,7.87,83.6
"Alex Kerfoot","21-22","TOR","C",82,140.03,15.41,24.92,25.55,23.91,20.69,2.79,15.32,37.96,114.37,49.93,145.51,54.55,173.64,3.77,14.45,-12.53,-76.41,-95.58,-119.09,-10.68,7.35,86.6
"Alex Killorn","19-20","T.B","C",68,149.4,0,14.29,12.83,11.51,8.43,0,21.91,21.91,131.38,26.34,178.98,30.47,234.15,1.53,16.62,-21.91,-109.47,-152.64,-203.68,-15.09,0,83.32
"Alex Killorn","20-21","T.B","C",55,98.73,8.41,24.4,23.38,18.68,25.21,1.01,11,19.94,61.77,25.16,82.45,27.44,119.44,2.43,7.21,-9.99,-41.83,-57.29,-92,-4.78,5.07,82.19
"Alex Killorn","21-22","T.B","C/L",82,143.15,0,18.16,17.12,16.74,15.33,0,13.8,24.98,112.6,32.44,157.06,43.06,214.18,2.55,14.08,-13.8,-87.62,-124.62,-171.12,-11.53,0,87.74
"Alex Pietrangelo","19-20","STL","D",67,122.45,0,19.86,16.87,14.06,9.52,0,13.84,27.37,110.44,29.33,144.56,30.38,185.64,1.4,13.3,-13.84,-83.07,-115.23,-155.26,-11.9,0,87.47
